UKT,NILAI UKT,PENGHASILAN AYAH,PENGHASILAN IBU,TOTAL PENGHASILAN,"Jumlah Anggota Keluarga (Ayah, Ibu dan Anak)",TOTAL PENGHASILAN/JUMLAH ANGGOTA KEL,STATUS AYAH,STATUS IBU,STATUS KIP,STATUS TDK MAMPU,STATUS KKS
2.0,1825000.0,0,1000000,1000000,3.0,333333.3333,0,1,1,0,1
3.0,2550000.0,1200000,0,1200000,3.0,400000.0,1,1,1,0,1
2.0,1825000.0,0,1500000,1500000,4.0,375000.0,0,1,1,0,1
2.0,1825000.0,1500000,0,1500000,5.0,300000.0,0,0,0,0,0
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,0,0,0,0
2.0,1925000.0,1000000,0,1000000,5.0,200000.0,1,1,0,0,0
3.0,2400000.0,1000000,0,1000000,6.0,166666.6667,1,1,0,0,0
4.0,3200000.0,1000000,0,1000000,4.0,250000.0,1,1,0,0,1
2.0,1925000.0,1000000,0,1000000,3.0,333333.3333,1,0,0,0,0
4.0,3600000.0,2650000,0,2650000,5.0,530000.0,1,1,1,0,1
2.0,1825000.0,1500000,0,1500000,6.0,250000.0,1,1,0,0,0
4.0,3200000.0,1000000,500000,1500000,5.0,300000.0,1,1,1,0,1
4.0,3200000.0,700000,1700000,2400000,3.0,800000.0,1,1,1,1,1
4.0,3200000.0,700000,0,700000,4.0,175000.0,1,1,1,0,1
3.0,2400000.0,0,0,0,6.0,0.0,0,1,1,0,1
4.0,2800000.0,0,750000,750000,3.0,250000.0,0,1,1,0,1
4.0,2800000.0,1446185,0,1446185,6.0,241030.8333,1,1,0,0,0
4.0,3200000.0,0,0,0,6.0,0.0,1,1,1,0,0
2.0,1825000.0,500000,0,500000,7.0,71428.57143,1,1,1,1,1
2.0,1825000.0,150000,150000,300000,5.0,60000.0,1,1,0,0,0
4.0,3200000.0,1500000,0,1500000,6.0,250000.0,1,1,0,0,1
2.0,1925000.0,1000000,0,1000000,5.0,200000.0,1,1,1,0,0
4.0,3200000.0,1000000,0,1000000,5.0,200000.0,1,1,1,0,1
2.0,1825000.0,2500000,0,2500000,6.0,416666.6667,1,1,1,0,1
3.0,2400000.0,0,1000000,1000000,4.0,250000.0,1,1,1,0,1
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,1,0,0,1
4.0,3200000.0,2500000,1500000,4000000,4.0,1000000.0,1,1,1,0,1
4.0,3200000.0,1500000,0,1500000,3.0,500000.0,1,1,0,0,0
2.0,2000000.0,1200000,0,1200000,7.0,171428.5714,1,1,0,0,0
4.0,3200000.0,1000000,0,1000000,5.0,200000.0,1,1,1,0,0
1.0,400000.0,0,0,0,5.0,0.0,0,0,1,0,0
4.0,3600000.0,0,1000000,1000000,3.0,333333.3333,0,1,1,0,1
2.0,2000000.0,1500000,0,1500000,7.0,214285.7143,1,1,0,0,0
2.0,1825000.0,0,0,0,4.0,0.0,0,1,1,0,1
2.0,1925000.0,2000000,1500000,3500000,6.0,583333.3333,1,1,1,0,1
3.0,2400000.0,2000000,0,2000000,8.0,250000.0,1,1,1,0,1
3.0,2400000.0,2743500,0,2743500,6.0,457250.0,1,1,1,0,1
4.0,3200000.0,1800000,0,1800000,4.0,450000.0,1,1,1,0,1
4.0,2800000.0,0,0,0,8.0,0.0,1,1,0,0,0
3.0,2600000.0,4130279,0,4130279,5.0,826055.8,1,1,1,0,1
4.0,2800000.0,500000,1000000,1500000,4.0,375000.0,1,1,1,0,1
4.0,2800000.0,1800000,0,1800000,6.0,300000.0,0,0,0,0,0
2.0,2075000.0,0,0,0,5.0,0.0,1,1,1,0,1
4.0,2800000.0,1000000,0,1000000,5.0,200000.0,0,0,0,0,0
3.0,2900000.0,1000000,500000,1500000,4.0,375000.0,1,1,0,0,0
4.0,4000000.0,1500000,0,1500000,4.0,375000.0,1,1,0,0,0
4.0,3200000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,1
3.0,2600000.0,0,2000000,2000000,9.0,222222.2222,1,1,1,1,1
4.0,3200000.0,2000000,0,2000000,3.0,666666.6667,1,1,1,0,1
4.0,2800000.0,900000,900000,1800000,12.0,150000.0,1,1,1,0,1
4.0,2800000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,1
2.0,1825000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,0
2.0,1925000.0,0,2200000,2200000,4.0,550000.0,1,1,1,1,1
4.0,2800000.0,1000000,0,1000000,5.0,200000.0,1,1,0,0,0
4.0,3200000.0,1500000,1500000,3000000,3.0,1000000.0,0,0,0,0,0
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,1,0,0,1
4.0,3200000.0,3825000,0,3825000,6.0,637500.0,1,1,1,0,1
4.0,3600000.0,0,500000,500000,6.0,83333.33333,1,1,0,0,0
2.0,1925000.0,1500000,0,1500000,6.0,250000.0,0,0,0,0,0
2.0,1825000.0,2000000,500000,2500000,6.0,416666.6667,0,1,0,0,0
3.0,2400000.0,400000,0,400000,5.0,80000.0,1,1,1,0,1
4.0,3200000.0,0,1000000,1000000,4.0,250000.0,1,1,0,0,0
3.0,2400000.0,1200000,0,1200000,4.0,300000.0,1,1,1,0,1
4.0,4000000.0,2000000,0,2000000,4.0,500000.0,1,1,0,0,0
5.0,3220000.0,2989000,3578000,6567000,5.0,1313400.0,1,1,1,1,1
3.0,2400000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,1
1.0,400000.0,0,0,0,3.0,0.0,0,1,0,0,0
1.0,400000.0,0,800000,800000,3.0,266666.6667,1,1,0,0,1
4.0,2800000.0,1500000,0,1500000,10.0,150000.0,1,1,1,0,0
4.0,2800000.0,0,0,0,7.0,0.0,0,0,0,0,0
2.0,1825000.0,1000000,0,1000000,5.0,200000.0,1,1,1,1,1
4.0,2800000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,1
